company_slug,company_name,ticker,market_cap_usd,market_cap_display,source_kind,source_reported_at_label,fetched_at,companies_market_cap_url,source_note
nvidia,NVIDIA,NVDA,5103000000000,$5.103 T,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/nvidia/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
alphabet,Alphabet,GOOGL,4483000000000,$4.483 T,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/alphabet-google/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
apple,Apple,AAPL,4376000000000,$4.376 T,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/apple/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
microsoft,Microsoft,MSFT,2818000000000,$2.818 T,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/microsoft/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
amazon,Amazon,AMZN,2628000000000,$2.628 T,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/amazon/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
broadcom,Broadcom,AVGO,1957000000000,$1.957 T,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/broadcom/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
tesla,Tesla,TSLA,1504000000000,$1.504 T,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/tesla/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
meta-platforms,Meta Platforms,META,1465000000000,$1.465 T,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/meta-platforms/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
micron-technology,Micron Technology,MU,1278000000000,$1.278 T,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/micron-technology/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
berkshire-hathaway,Berkshire Hathaway,BRK.B,1055000000000,$1.055 T,live,June 2026,2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/berkshire-hathaway/marketcap/,
eli-lilly,Eli Lilly,LLY,979640000000,$979.64 B,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/eli-lilly/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
walmart,Walmart,WMT,932520000000,$932.52 B,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/walmart/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
advanced-micro-devices,Advanced Micro Devices,AMD,876230000000,$876.23 B,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/amd/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
intel,Intel,INTC,673430000000,$673.43 B,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/intel/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
jpmorgan-chase,JPMorgan Chase,JPM,670618000000,$670.6 B,published-fallback,2026-03-25,2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/jpmorgan-chase/marketcap/,Live fetch failed; used the latest published market-cap metric instead. Received 404 Not Found
visa,Visa,V,622320000000,$622.32 B,live,"Jun 19th, 2026",2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/visa/marketcap/,retrieved from website (19-06-2026 21:01 UTC)
johnson-johnson,Johnson & Johnson,JNJ,585580000000,$585.6 B,published-fallback,2026-03-24,2026-06-20T07:37:45.137Z,https://companiesmarketcap.com/johnson-johnson/marketcap/,Live fetch failed; used the latest published market-cap metric instead. Received 404 Not Found
